age_group,sex,smoking_status,history_variable,n,mean,sd,minimum,maximum,p01,p05,p25,p50,p75,p95,p99,source_n_exact_age_group,source_n_sex_status_model,synthetic_n,plco_role,distribution_recommendation,source_dataset,source_processing
55-59,male,former,adjusted_pack_years,1250,19.303643794822506,13.796253769277245,0.3050341385409426,59.9538205273779,0.3836137009114456,1.786254998982838,6.999062363296366,18.548547482013547,27.999476711474035,44.743203605792424,55.73034741562314,6,63,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,current,age_at_initiation,1250,17.79770697491825,4.34701690997389,10.16794181690602,29.758016401251815,10.20560312563076,12.52785922885462,14.508635097707732,17.454917257852344,19.51582839315269,28.097010618493115,29.357841492174042,5,34,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,current,cigarettes_per_day,1250,13.200916916959331,5.311393057829758,3.985264350852031,22.985460277864608,4.1085381697215055,5.138481096781294,8.890795142188974,11.59441174477432,18.819274719641985,20.285092950113985,22.80792749608689,5,34,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,current,smoking_duration,1250,44.20229302508176,4.574986613050265,31.747728790863167,53.83205818309398,31.902989381506885,34.415587638175836,42.0,44.60086342778935,47.45736312011873,50.462681203381045,52.79439687436924,5,34,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,current,years_since_quitting,1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,34,1250,plcom2012_predictor,structural_zero,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,current,standard_pack_years,1250,29.248999326386652,12.53731225237322,8.773206175963082,55.98528301599549,8.949896029116994,10.320640926594526,20.543187386445876,25.09354560433522,41.56683016843467,49.24357247339943,55.5834988516347,5,34,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,current,adjusted_pack_years,1250,28.878680705392377,12.451101882115344,8.665798150698283,55.63595961681146,8.819490911097652,10.13434428252307,20.26961405042676,24.836674821726515,41.01085220926527,48.86005494831816,55.20013924129471,5,34,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,former,age_at_initiation,1250,16.999351797789544,3.1264749596622377,10.941911303581787,27.314144903563935,11.098333855665519,12.497274730931963,14.518874492725622,17.07270981406706,18.747947678921925,23.76649142841146,26.821774140924504,4,38,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,former,age_at_stopping,1250,43.120422849994085,10.84060861301221,24.15292458181669,61.99999999999999,24.48366258928791,25.417422221248266,32.60327539518299,45.392043941772826,51.66210682609186,59.18214559802193,61.07599490423267,4,38,1250,chronology_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,former,cigarettes_per_day,1250,16.635212265742286,6.025421450804551,5.9459460030264,32.09249533747413,5.9459460030264,6.1345196521878815,11.496051773284782,17.300964595520725,20.000000677601832,27.540435888297672,31.708417915546104,4,38,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,former,smoking_duration,1250,26.12107105220454,10.429336179315028,5.6681070847601305,44.795495959772865,5.791171351149135,8.563707185396357,14.944361512652177,26.783616577838544,35.34000954782775,41.53041333728841,43.27763550217404,4,38,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,former,years_since_quitting,1250,18.879577150005915,10.825374839385725,1.729933814420157,38.59911191364911,1.821927273847654,2.7337903468984877,9.934730259834076,16.385645025750165,29.5594396296978,36.03744278006357,37.88030552132945,4,38,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,former,standard_pack_years,1250,22.693934298787823,13.756786113164251,3.6292421046256136,62.084639268254385,3.745375062018126,4.972937645623591,11.438424819496557,20.502830770392286,33.463316736736445,46.68068690325593,60.28578528820882,4,38,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,female,former,adjusted_pack_years,1250,21.120779111776642,14.05129599337049,1.9514007100613384,60.0,2.049065968274514,2.8895002783838235,10.347023628038352,18.905001533894918,32.93850631338306,45.10710249517848,58.940526340967395,4,38,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,current,age_at_initiation,1250,18.3932095619381,5.069806248603562,11.987545438478392,29.55258165079693,12.011007718512356,12.220882791985293,15.06929260678225,17.36423792036109,19.26030975016328,29.159652470225765,29.55258165079693,6,32,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,current,cigarettes_per_day,1250,19.611968689018116,7.994739444725205,7.299532766011646,42.847007755187335,7.299532766011646,8.072962584257095,14.499407908451591,19.954242832700817,20.908830506923138,41.0325805019472,42.67133767474872,6,32,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,current,smoking_duration,1250,43.60679043806189,5.190967004971442,31.925775191522256,52.01245456152161,31.925775191522256,32.576843189365334,42.356468069965445,45.04317569797278,47.014378161861316,49.76549307089665,51.812476029438244,6,32,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,current,years_since_quitting,1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,32,1250,plcom2012_predictor,structural_zero,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,current,standard_pack_years,1250,42.23021749463305,16.544002039580544,16.697948011195454,102.74073761663954,16.88012073757851,18.14364915971072,33.12066469467349,42.69429713681009,47.70240048624612,81.0297071040248,96.8605268413386,6,32,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,current,adjusted_pack_years,1250,39.61700666136119,11.641976139562097,16.525866543468112,60.0,16.671492650309574,17.962203055550148,32.682413012549816,42.05239184545053,47.22856488050301,60.0,60.0,6,32,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,former,age_at_initiation,1250,16.071856030529048,2.8319990545894864,10.402402621256686,24.802507189752337,10.402402621256686,11.009809202728192,14.218406590221624,15.96285626660752,17.92512116008521,21.0,24.489839089851486,8,63,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,former,age_at_stopping,1250,40.07992897832609,11.35622003623267,19.869904595411363,62.18791075228226,20.10797606048351,22.426875408966144,30.302067898155805,38.94523656273787,47.62215579627977,59.78053950610099,61.27225207356136,8,63,1250,chronology_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,former,cigarettes_per_day,1250,20.636724797252644,9.79448602897767,5.805194904841261,42.10766201195659,5.877463647901727,6.011847566562252,13.835553634999425,18.575226375062172,27.995597753576895,37.96937538972681,41.13173511542022,8,63,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,former,smoking_duration,1250,24.008072947797036,11.814865390155127,2.7243041813880353,50.557777076003845,2.884681309251839,7.64292045688509,14.328813323232062,23.190451904595495,31.850244016553997,45.531335511768454,49.48433024061508,8,63,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,former,years_since_quitting,1250,21.92007102167392,11.32258625853129,1.5125445313529937,42.89202393951649,1.652332398411417,2.174600980620852,14.789278923984753,22.61286108650252,31.803169944911353,39.06595013271119,41.57312459103386,8,63,1250,plcom2012_predictor,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,former,standard_pack_years,1250,25.28126607354214,16.944818237375806,1.8410726990064643,71.42668767934273,1.995558148701709,3.8452826404075173,9.815720786305095,24.98504037111796,36.07887753636842,57.00000295314296,66.94667593909254,8,63,1250,derived_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
60-64,male,former,adjusted_pack_years,1250,22.890243762856663,16.694420733542024,0.4390472053838397,60.0,0.500065543953794,2.1787488268035347,7.34081424693049,20.28699986645815,33.757493793682706,55.69989069700264,60.0,8,63,1250,eligibility_validation_measure,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
65-69,female,current,age_at_initiation,1250,18.396617614792003,4.814474597503437,9.82095773903875,32.152663913014365,9.95397870455468,13.069977111046608,14.607332696267145,17.966706965615337,20.25635808488477,30.0,31.779817335722797,6,34,1250,derived_history_input,synthetic_predictive_quantile,data_raw/eurobarometer.dta,robust_penalised_spline_with_complete_residual_vector_resampling
