age_group,sex,smoking_status,variable_1,variable_2,n_complete,correlation,correlation_estimable,joint_generation_method,source_dataset
55-59,male,current,age_at_initiation,cigarettes_per_day,9,-0.508882526520,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,current,age_at_initiation,smoking_duration,9,-0.992083060106,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,current,cigarettes_per_day,smoking_duration,9,0.521693994146,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,former,age_at_initiation,age_at_stopping,9,-0.037032333742,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,former,age_at_initiation,cigarettes_per_day,9,-0.732281649174,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,former,age_at_initiation,smoking_duration,9,-0.383988784574,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,former,age_at_initiation,years_since_quitting,9,0.013040303617,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,former,age_at_stopping,cigarettes_per_day,9,-0.094284658097,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,former,age_at_stopping,smoking_duration,9,0.936924410698,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,former,age_at_stopping,years_since_quitting,9,-0.993705921294,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,former,cigarettes_per_day,smoking_duration,9,0.169015248691,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,former,cigarettes_per_day,years_since_quitting,9,0.071637938111,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
55-59,male,former,smoking_duration,years_since_quitting,9,-0.922717121658,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,current,age_at_initiation,cigarettes_per_day,6,-0.603380598016,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,current,age_at_initiation,smoking_duration,6,-0.972271824132,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,current,cigarettes_per_day,smoking_duration,6,0.412674336179,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,former,age_at_initiation,age_at_stopping,8,0.717571673905,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,former,age_at_initiation,cigarettes_per_day,8,-0.038068118184,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,former,age_at_initiation,smoking_duration,8,0.511129023339,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,former,age_at_initiation,years_since_quitting,8,-0.699906393191,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,former,age_at_stopping,cigarettes_per_day,8,0.531624917846,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,former,age_at_stopping,smoking_duration,8,0.965403065145,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,former,age_at_stopping,years_since_quitting,8,-0.997092612461,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,former,cigarettes_per_day,smoking_duration,8,0.670309756174,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,former,cigarettes_per_day,years_since_quitting,8,-0.537590593145,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,female,former,smoking_duration,years_since_quitting,8,-0.968429012795,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,current,age_at_initiation,cigarettes_per_day,7,0.532628518936,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,current,age_at_initiation,smoking_duration,7,-0.941646084384,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,current,cigarettes_per_day,smoking_duration,7,-0.466848574237,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,former,age_at_initiation,age_at_stopping,11,0.365665586684,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,former,age_at_initiation,cigarettes_per_day,11,-0.491241521603,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,former,age_at_initiation,smoking_duration,11,0.217454653041,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,former,age_at_initiation,years_since_quitting,11,-0.358570075721,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,former,age_at_stopping,cigarettes_per_day,11,-0.390490504574,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,former,age_at_stopping,smoking_duration,11,0.987989621528,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,former,age_at_stopping,years_since_quitting,11,-0.995222993336,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,former,cigarettes_per_day,smoking_duration,11,-0.327951310775,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,former,cigarettes_per_day,years_since_quitting,11,0.353058363823,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
60-64,male,former,smoking_duration,years_since_quitting,11,-0.984157970750,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,current,age_at_initiation,cigarettes_per_day,6,0.491896527135,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,current,age_at_initiation,smoking_duration,6,-0.986878873624,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,current,cigarettes_per_day,smoking_duration,6,-0.456619814487,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,former,age_at_initiation,age_at_stopping,8,0.522945914230,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,former,age_at_initiation,cigarettes_per_day,8,0.270689549522,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,former,age_at_initiation,smoking_duration,8,0.316020895708,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,former,age_at_initiation,years_since_quitting,8,-0.573646044409,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,former,age_at_stopping,cigarettes_per_day,8,0.821006951229,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,former,age_at_stopping,smoking_duration,8,0.973945852867,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,former,age_at_stopping,years_since_quitting,8,-0.995228728289,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,former,cigarettes_per_day,smoking_duration,8,0.841827487694,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,former,cigarettes_per_day,years_since_quitting,8,-0.807934375949,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,female,former,smoking_duration,years_since_quitting,8,-0.955145751677,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,current,age_at_initiation,cigarettes_per_day,7,-0.217856564803,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,current,age_at_initiation,smoking_duration,7,-0.996644014397,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,current,cigarettes_per_day,smoking_duration,7,0.205532526722,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,former,age_at_initiation,age_at_stopping,24,-0.415812447531,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,former,age_at_initiation,cigarettes_per_day,24,-0.381488156506,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,former,age_at_initiation,smoking_duration,24,-0.592303862038,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,former,age_at_initiation,years_since_quitting,24,0.383646103601,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,former,age_at_stopping,cigarettes_per_day,24,0.306971769494,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,former,age_at_stopping,smoking_duration,24,0.979044841052,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,former,age_at_stopping,years_since_quitting,24,-0.994696832450,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,former,cigarettes_per_day,smoking_duration,24,0.357380388829,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,former,cigarettes_per_day,years_since_quitting,24,-0.292201018514,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
65-69,male,former,smoking_duration,years_since_quitting,24,-0.967143864039,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,current,age_at_initiation,cigarettes_per_day,4,-0.433926729257,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,current,age_at_initiation,smoking_duration,4,-0.991388536663,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,current,cigarettes_per_day,smoking_duration,4,0.388833611540,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,former,age_at_initiation,age_at_stopping,7,-0.596310459153,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,former,age_at_initiation,cigarettes_per_day,7,0.045899254602,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,former,age_at_initiation,smoking_duration,7,-0.777242602287,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,former,age_at_initiation,years_since_quitting,7,0.596386459317,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,former,age_at_stopping,cigarettes_per_day,7,0.217738395281,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,former,age_at_stopping,smoking_duration,7,0.968571479257,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,former,age_at_stopping,years_since_quitting,7,-0.988314269846,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,former,cigarettes_per_day,smoking_duration,7,0.156442034097,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,former,cigarettes_per_day,years_since_quitting,7,-0.335366678057,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,female,former,smoking_duration,years_since_quitting,7,-0.959435716155,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,current,age_at_initiation,cigarettes_per_day,3,,false,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,current,age_at_initiation,smoking_duration,3,,false,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,current,cigarettes_per_day,smoking_duration,3,0.683243470440,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,former,age_at_initiation,age_at_stopping,12,0.383098483652,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,former,age_at_initiation,cigarettes_per_day,12,-0.375314166931,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,former,age_at_initiation,smoking_duration,12,-0.122155733317,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,former,age_at_initiation,years_since_quitting,12,-0.405463316195,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,former,age_at_stopping,cigarettes_per_day,12,-0.756027805574,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,former,age_at_stopping,smoking_duration,12,0.869992131299,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,former,age_at_stopping,years_since_quitting,12,-0.993639035657,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,former,cigarettes_per_day,smoking_duration,12,-0.612002568979,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,former,cigarettes_per_day,years_since_quitting,12,0.750944607764,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
70-74,male,former,smoking_duration,years_since_quitting,12,-0.851219244456,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,current,age_at_initiation,cigarettes_per_day,1,,false,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,current,age_at_initiation,smoking_duration,1,,false,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,current,cigarettes_per_day,smoking_duration,1,,false,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,former,age_at_initiation,age_at_stopping,3,-0.920863697704,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,former,age_at_initiation,cigarettes_per_day,3,-0.709570905571,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,former,age_at_initiation,smoking_duration,3,-0.936765906923,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,former,age_at_initiation,years_since_quitting,3,0.922612906315,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,former,age_at_stopping,cigarettes_per_day,3,0.378692082935,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,former,age_at_stopping,smoking_duration,3,0.999076435557,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,former,age_at_stopping,years_since_quitting,3,-0.999989827629,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,former,cigarettes_per_day,smoking_duration,3,0.418110486252,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,former,cigarettes_per_day,years_since_quitting,3,-0.382862803835,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,female,former,smoking_duration,years_since_quitting,3,-0.999260081290,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,current,age_at_initiation,cigarettes_per_day,4,-0.119814735374,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,current,age_at_initiation,smoking_duration,4,-0.985078409658,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,current,cigarettes_per_day,smoking_duration,4,-0.041506281831,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,former,age_at_initiation,age_at_stopping,16,0.096974271180,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,former,age_at_initiation,cigarettes_per_day,16,-0.406005852554,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,former,age_at_initiation,smoking_duration,16,-0.207181423158,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,former,age_at_initiation,years_since_quitting,16,-0.106703121861,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,former,age_at_stopping,cigarettes_per_day,16,0.013162062454,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,former,age_at_stopping,smoking_duration,16,0.953600422735,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,former,age_at_stopping,years_since_quitting,16,-0.997704371578,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,former,cigarettes_per_day,smoking_duration,16,0.135754570264,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,former,cigarettes_per_day,years_since_quitting,16,0.010790412575,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
75-79,male,former,smoking_duration,years_since_quitting,16,-0.948400983102,true,gaussian_copula_with_empirical_marginals,code/4. pack_year_distribution_baseline.ipynb
